Month,Date,"GST Invoice No","Pran Number",total_contribution_amount,contribution_month,contribution_year,"account opening",IGST,CGST,SGST,POP,"POP IGST","POP CGST","POP SGST","Payment Gateway Charges Amount(in ₹)","Payment Gateway Charges Tax(in ₹)","Net Amount",Type,"CHO Reg No","CBO Reg No","CHO Name/Retail","transaction id","Cra Transaction ID","Receipts No.","Pran Generation date",Tier,"Contribution type",Corp/Retail,SIP/Subs,"Registration Charges","Contribution Fees","Maximum Fees","Minimum Fees","Date of Transfer",State,Channel,"Refund Status"
Apr,24/04/2025,COR/0525/00006,"	1.10271E+11",300.00,4,2025,,,,,0.30,0.00,0.03,0.03,,,299.65,NSDL,3000000,941115,corp_3,,,,,"Tier 2",t2,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00006,"	1.10136E+11","10,090,000.00",4,2025,,,,,"10,078.09",0.00,907.03,907.03,,,"10,078,093.80",NSDL,3000000,941115,corp_3,,,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00006,"	1.10063E+11","10,000.00",4,2025,,,,,9.99,0.00,0.90,0.90,,,"9,988.20",NSDL,3000000,941115,corp_3,,,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00006,"	1.10212E+11","8,000.00",4,2025,,,,,7.99,0.00,0.72,0.72,,,"7,990.56",NSDL,3000000,941115,corp_3,,,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00006,"	1.10262E+11","30,000.00",4,2025,,,,,29.96,0.00,2.70,2.70,,,"29,964.60",NSDL,3000000,941115,corp_3,,,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00006,"	1.10187E+11","15,000.60",4,2025,,,,,14.98,0.00,1.35,1.35,,,"14,982.90",NSDL,3000000,941115,corp_3,,,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110270912314",300.00,5,2025,,,,,0.30,0.00,0.03,0.03,,,299.65,NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 1",A,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110135946225","90,020,000.00",5,2025,,,,,"25,000.00",0.00,"2,250.00","2,250.00",,,"89,990,500.00",NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 1",C,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110063324398","5,000.00",5,2025,,,,,4.99,0.00,0.45,0.45,,,"4,994.10",NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 1",V,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110212102724","8,000.00",5,2025,,,,,7.99,0.00,0.72,0.72,,,"7,990.56",NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 1",C,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110261962195","30,000.00",5,2025,,,,,29.96,0.00,2.70,2.70,,,"29,964.60",NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 2",t2,CORP,,,0.1000000000,0,25000,,Bihar,,
May,24/04/2025,COR/0525/00005,"	110186521375","15,000.00",5,2025,,,,,14.98,0.00,1.35,1.35,,,"14,982.30",NSDL,3000000,941115,corp_3,,CRA_TID_1747827322,,,"Tier 1",C,CORP,,,0.1000000000,0,25000,,Bihar,,
Apr,24/04/2025,COR/0525/00004,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00004,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00004,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00004,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00004,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00004,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,COR/0525/00003,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,21/05/2025,,"	400071192636",400.00,4,2025,,,,,20.00,0.00,1.80,1.80,,,364.60,NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,21/05/2025,,"	400070560576","16,000.00",4,2025,,,,,79.81,0.00,7.18,7.18,,,"15,962.24",NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,21/05/2025,,"	400070560576","10,000.00",4,2025,,,,,49.82,0.00,4.48,4.48,,,"9,964.60",NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,21/05/2025,,"	400061100269","8,000.00",4,2025,,,,,39.82,0.00,3.58,3.58,,,"7,964.60",NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,21/05/2025,,"	400080180256","30,000.53",4,2025,,,,,149.65,0.00,13.47,13.47,,,"29,929.73",NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,21/05/2025,,"	400011172620","15,000.70",4,2025,,,,,74.83,0.00,6.73,6.73,,,"14,965.30",NSDL,7000000,941115,"Corp 7",,CRA_TID_1745922611,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Apr,24/04/2025,,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745568773,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	900020110824","7,100.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"7,100.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	900070101805","8,000.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"8,000.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	901000086017","10,000.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"10,000.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	900080112987","10,000.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"10,000.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	901000065586","30,000.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"30,000.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	900090100622","15,000.00",4,2025,,,,,0.00,0.00,0.00,0.00,,,"15,000.00",CAMS,6000000,941115,corp_6,,CRA_TID_1745568754,,,"Tier 1",V,CORP,,,0.0000000000,0,0,,Mizoram,,
Apr,24/04/2025,,"	900060071066","15,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"14,976.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",V,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	900050054292","30,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"29,976.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",V,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	900020085651","8,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"7,976.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",T2,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	900000046575","11,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"10,976.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",A,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	900000071718","13,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"12,976.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",V,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	900000073985","7,100.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"7,076.40",CAMS,5000000,941115,corp_5,,CRA_TID_1745568730,,,"Tier 1",V,CORP,,,0.0000000000,20,20,,Assam,,
Apr,24/04/2025,,"	110232288571","1,100.00",4,2025,,,,,2.19,0.40,0.00,0.00,,,"1,097.40",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	110075431334","30,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"29,976.40",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	110187074637","8,000.00",4,2025,,,,,15.96,2.87,0.00,0.00,,,"7,981.12",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	111202089992","10,000.00",4,2025,,,,,19.95,3.59,0.00,0.00,,,"9,976.40",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	110051175897","8,900.00",4,2025,,,,,17.76,3.20,0.00,0.00,,,"8,879.00",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	110148466174","15,000.00",4,2025,,,,,20.00,3.60,0.00,0.00,,,"14,976.40",NSDL,4000000,941115,corp_4,,CRA_TID_1745568706,,,"Tier 1",V,CORP,,,0.2000000000,0,20,,Chhattisgarh,,
Apr,24/04/2025,,"	401001112709","30,000.00",4,2025,,,,,59.86,10.77,0.00,0.00,,,"29,929.20",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400060026566","14,500.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"14,464.60",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400061246784","16,200.00",4,2025,,,,,32.32,5.82,0.00,0.00,,,"16,161.77",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400051096099","10,100.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"10,064.60",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400091084029","8,120.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"8,084.60",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400071013611","15,000.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"14,964.60",KFINTECH,2000000,941115,corp_2,,CRA_TID_1745567144,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,CRA_TID_1745566429,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400080180256","30,000.00",4,2025,,,,,149.12,26.84,0.00,0.00,,,"29,823.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400071192636",400.00,4,2025,,,,,30.00,5.40,0.00,0.00,,,364.60,KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","16,000.00",4,2025,,,,,79.53,14.32,0.00,0.00,,,"15,905.60",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400070560576","10,000.00",4,2025,,,,,49.71,8.95,0.00,0.00,,,"9,941.00",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400061100269","8,000.00",4,2025,,,,,39.76,7.16,0.00,0.00,,,"7,952.80",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	400011172620","15,000.00",4,2025,,,,,74.56,13.42,0.00,0.00,,,"14,911.50",KFINTECH,1000000,941115,Corp_1,,,,,"Tier 1",V,CORP,,,0.5000000000,30,25000,,"Andhra Pradesh",,
Apr,24/04/2025,,"	900030050616","10,140.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"8,079.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	900040050607","6,550.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"8,079.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	900080050619","8,120.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"8,079.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400040433124","8,430.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"9,414.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400034561123","7,195.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"9,414.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
Apr,24/04/2025,,"	400040433160","9,455.00",4,2025,,,,,30.00,5.40,0.00,0.00,,,"9,414.20",KFINTECH,2000000,941115,"ABC MALL",,CRA_TID_1745235553,,,"Tier 1",V,CORP,,,0.2000000000,30,25000,,"Arunachal Pradesh",,
